date,country,state,city,ibgeID,newCases,totalCases
2020-03-13,Brazil,AM,Manaus/AM,1302603,1,1
2020-03-13,Brazil,SC,Joinville/SC,4209102,1,1
2020-03-13,Brazil,SP,São Paulo/SP,3550308,0,62
2020-03-13,Brazil,RJ,Barra Mansa/RJ,3300407,0,1
2020-03-13,Brazil,ES,Vila Velha/ES,3205200,0,2
2020-03-13,Brazil,DF,Brasília/DF,5300108,0,3
2020-03-13,Brazil,AL,Maceió/AL,2704302,0,1
2020-03-13,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1
2020-03-13,Brazil,MG,Divinópolis/MG,3122306,0,1
2020-03-13,Brazil,RJ,Niterói/RJ,3303302,0,1
2020-03-13,Brazil,RS,Campo Bom/RS,4303905,0,1
2020-03-13,Brazil,PE,Recife/PE,2611606,0,2
2020-03-13,Brazil,RS,Caxias do Sul/RS,4305108,0,1
2020-03-13,Brazil,PR,Curitiba/PR,4106902,0,5
2020-03-13,Brazil,PR,Cianorte/PR,4105508,0,1
2020-03-13,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1
2020-03-13,Brazil,SC,Florianópolis/SC,4205407,0,2
2020-03-13,Brazil,MG,Ipatinga/MG,3131307,0,1
2020-03-13,Brazil,GO,Rio Verde/GO,5218805,0,1
2020-03-13,Brazil,GO,Goiânia/GO,5208707,0,2
2020-03-13,Brazil,RN,Natal/RN,2408102,0,1
2020-03-13,Brazil,TOTAL,TOTAL,0,11,120
2020-03-14,Brazil,RJ,Rio de Janeiro/RJ,3304557,5,22
2020-03-14,Brazil,DF,Brasília/DF,5300108,5,8
2020-03-14,Brazil,RS,Porto Alegre/RS,4314902,1,5
2020-03-14,Brazil,PE,Recife/PE,2611606,4,6
2020-03-14,Brazil,GO,Goiânia/GO,5208707,1,3
2020-03-14,Brazil,SC,Rancho Queimado/SC,4214300,2,2
2020-03-14,Brazil,PE,ESTRANGEIRO/PE,26,1,1
2020-03-14,Brazil,MS,Campo Grande/MS,5002704,2,2
